fund_id,fund_name,manager_name,fund_type,strategy,vintage_year,inception_date,fund_size_millions,currency,target_size_millions,status,geography,sector_focus,administrator,last_updated
PE041,Omega Fund VI,Warburg Pincus,Private Equity,Mezzanine,2019,2019-03-19,2461.48,EUR,2692.86,Liquidated,Asia Pacific,Energy,State Street,2025-09-30
PE042,Delta Fund VI,KKR & Co,Private Equity,Mezzanine,2022,2022-05-22,4753.37,EUR,5185.76,Harvesting,Asia Pacific,Energy,SS&C Technologies,2025-09-07
PE043,Prime Fund I,TPG Capital,Private Equity,Buyout,2026,2023-08-14,743.92,USD,818.09,Liquidated,North America,Industrials,Citco,2025-03-04
PE044,Delta Fund I,KKR & Co,Private Equity,Mezzanine,2022,2022-02-01,4879.16,USD,,Investing,Asia Pacific,Technology,Northern Trust,2025-04-17
PE045,Prime Fund IV,Apollo Global Management,Private Equity,Mezzanine,2016,2016-11-27,1192.87,GBP,,Harvesting,Global,Multi-Sector,,2025-09-02
PE046,Omega Fund I,Warburg Pincus,Private Equity,Growth Equity,2021,2021-04-20,2787.08,GBP,2941.06,Liquidated,Asia Pacific,Consumer,BNY Mellon,2025-10-04
PE047,Delta Fund V,Blackstone Group,Private Equity,Mezzanine,2017,2017-08-18,2679.54,USD,2881.69,Harvesting,Europe,Industrials,Northern Trust,2025-09-20
PE048,Prime Fund II,Bridgewater Associates,Private Equity,Buyout,2020,2020-12-16,3673.53,EUR,4161.15,Investing,Global,Technology,SS&C Technologies,2025-09-30
PE049,Peak Fund IV,Renaissance Technologies,Private Equity,Buyout,2022,2022-02-17,4596.99,USD,,Investing,North America,Multi-Sector,BNY Mellon,2025-08-24
PE050,Peak Fund II,Vista Equity Partners,Private Equity,Mezzanine,2016,2016-06-28,3534.61,USD,3977.71,Liquidated,Latin America,Technology,,2025-08-16
HF001,Peak Fund II,Warburg Pincus,Hedge Fund,Event Driven,2018,2018-12-03,7075.6,USD,8310.4,Liquidated,Europe,Consumer,,2025-05-02
HF002,Peak Fund II,Tiger Global Management,Hedge Fund,Event Driven,2020,2020-06-14,3037.98,USD,3519.51,Investing,Europe,Healthcare,State Street,2025-08-16
HF003,Omega Fund VI,Bridgewater Associates,Hedge Fund,Global Macro,2022,2022-10-05,4250.64,USD,4817.54,Liquidated,Asia Pacific,Financial Services,SS&C Technologies,2025-08-28
HF004,Summit Fund V,Bridgewater Associates,Hedge Fund,Event Driven,2021,2021-12-09,7395.7,USD,8657.9,Fundraising,Europe,Real Estate,Northern Trust,2025-08-14
HF005,Summit Fund III,Silver Lake Partners,Hedge Fund,Event Driven,2015,2015-11-13,4842.73,USD,5563.98,Fundraising,Latin America,Multi-Sector,BNY Mellon,2025-10-13
HF006,Delta Fund II,Vista Equity Partners,Hedge Fund,Multi-Strategy,2020,2020-04-21,3661.85,USD,4223.92,Investing,Middle East,Healthcare,,2025-10-03
HF007,Peak Fund I,Acme Capital Partners,Hedge Fund,Quantitative,2015,2015-10-12,11253.04,USD,,Liquidated,Europe,Industrials,SS&C Technologies,2025-09-26
HF008,Alpha Fund I,Andreessen Horowitz,Hedge Fund,Multi-Strategy,2023,2023-05-27,3303.62,GBP,3942.79,Harvesting,Middle East,Energy,BNY Mellon,2025-11-02
HF009,Gamma Fund VI,Silver Lake Partners,Hedge Fund,Global Macro,2018,2018-11-24,10441.69,USD,11605.55,Fundraising,Global,Technology,Citco,2025-02-11
HF010,Gamma Fund VI,Bridgewater Associates,Hedge Fund,Event Driven,2024,2024-07-27,9939.69,USD,10876.96,Harvesting,Latin America,Industrials,State Street,2025-09-13
HF011,Summit Fund V,Acme Capital Partners,Hedge Fund,Event Driven,2021,2021-02-05,1634.86,USD,1672.83,Investing,Latin America,Financial Services,Citco,2025-08-14
HF012,Beta Fund IV,Vista Equity Partners,Hedge Fund,Multi-Strategy,2021,2021-10-24,11172.39,GBP,13035.26,Liquidated,Asia Pacific,Technology,State Street,2025-09-16
HF013,Summit Fund V,Renaissance Technologies,Hedge Fund,Global Macro,2020,2020-02-22,6142.69,GBP,6217.08,Harvesting,Europe,Healthcare,,2025-10-31
HF014,Peak Fund V,Tiger Global Management,Hedge Fund,Global Macro,2024,2024-01-02,12015.12,USD,,Investing,North America,Industrials,Northern Trust,2025-10-13
HF015,Omega Fund V,Bridgewater Associates,Hedge Fund,Event Driven,2017,2017-10-01,4881.85,CHF,5409.3,Investing,North America,Technology,SS&C Technologies,2025-10-12
HF016,Alpha Fund VI,Blackstone Group,Hedge Fund,Multi-Strategy,2020,2020-01-06,4715.15,USD,4822.32,Fundraising,Global,Multi-Sector,BNY Mellon,2025-10-29
HF017,Beta Fund VI,KKR & Co,Hedge Fund,Quantitative,2023,2023-04-20,1607.11,EUR,1774.72,Liquidated,Middle East,Technology,SS&C Technologies,2025-09-21
HF018,Omega Fund VI,TPG Capital,Hedge Fund,Quantitative,2016,2016-08-23,13735.81,USD,,Investing,North America,Financial Services,,2025-09-02
HF019,Prime Fund I,Warburg Pincus,Hedge Fund,Event Driven,2021,2021-10-17,5128.57,USD,5942.06,Fundraising,Middle East,Industrials,Citco,2025-09-20
HF020,Omega Fund IV,Warburg Pincus,Hedge Fund,Event Driven,2022,2022-07-14,11214.58,USD,11786.28,Investing,Middle East,Multi-Sector,SS&C Technologies,2025-10-31
HF021,Gamma Fund IV,Blackstone Group,Hedge Fund,Quantitative,2016,2016-12-24,6217.06,USD,,Harvesting,Middle East,Healthcare,Citco,2025-09-18
HF022,Alpha Fund VI,Bridgewater Associates,Hedge Fund,Long/Short Equity,2019,2019-10-10,5923.05,USD,,Liquidated,Europe,Healthcare,Citco,2025-10-28
HF023,Omega Fund V,TPG Capital,Hedge Fund,Event Driven,2024,2024-04-26,7007.57,USD,7878.92,Fundraising,Latin America,Consumer,SS&C Technologies,2025-10-03
HF024,Gamma Fund V,Renaissance Technologies,Hedge Fund,Event Driven,2020,2020-01-06,13178.08,USD,13552.01,Fundraising,North America,Industrials,Citco,2025-10-22
HF025,Beta Fund VI,Acme Capital Partners,Hedge Fund,Event Driven,2019,2019-12-11,11875.7,USD,,Fundraising,Europe,Financial Services,BNY Mellon,2025-04-26
HF026,Omega Fund VI,KKR & Co,Hedge Fund,Event Driven,2022,2022-11-14,7799.26,USD,,Fundraising,Asia Pacific,Real Estate,SS&C Technologies,2025-08-28
HF027,Delta Fund II,TPG Capital,Hedge Fund,Quantitative,2023,2023-11-10,1635.84,USD,1638.35,Harvesting,Europe,Financial Services,BNY Mellon,2025-10-27
HF028,Prime Fund II,Acme Capital Partners,Hedge Fund,Long/Short Equity,2022,2022-12-14,3459.73,USD,3805.88,Harvesting,North America,Real Estate,BNY Mellon,2025-05-12
HF029,Alpha Fund V,TPG Capital,Hedge Fund,Quantitative,2016,2016-06-19,7009.98,USD,7415.88,Liquidated,North America,Energy,SS&C Technologies,2025-09-14
HF030,Prime Fund IV,Apollo Global Management,Hedge Fund,Event Driven,2016,2016-07-28,2482.08,USD,2521.12,Harvesting,Middle East,Energy,SS&C Technologies,2025-11-02
VC001,Alpha Fund I,Renaissance Technologies,Venture Capital,Early Stage,2023,2023-09-07,1821.25,USD,2119.55,Investing,Europe,Healthcare,SS&C Technologies,2025-08-26
VC002,Prime Fund III,Tiger Global Management,Venture Capital,Late Stage,2016,2016-03-25,1293.1,USD,1442.96,Harvesting,Middle East,Energy,SS&C Technologies,2025-01-23
VC003,Delta Fund I,Tiger Global Management,Venture Capital,Seed,2019,2019-10-02,768.69,USD,774.47,Harvesting,Asia Pacific,Healthcare,State Street,2025-10-31
VC004,Delta Fund V,Warburg Pincus,Venture Capital,Growth,2022,2022-10-18,1913.04,EUR,,Investing,Asia Pacific,Multi-Sector,Northern Trust,2025-09-15
VC005,Beta Fund I,Apollo Global Management,Venture Capital,Early Stage,2020,2020-12-03,1058.64,USD,,Liquidated,Global,Financial Services,Citco,2025-09-23
VC006,Peak Fund I,TPG Capital,Venture Capital,Growth,2020,2020-11-20,199.49,USD,212.64,Liquidated,Asia Pacific,Consumer,State Street,2025-08-26
VC007,Gamma Fund II,Benchmark Capital,Venture Capital,Late Stage,2020,2020-02-19,1360.86,GBP,1539.42,Liquidated,Europe,Healthcare,Citco,2025-09-30
VC008,Peak Fund V,Benchmark Capital,Venture Capital,Late Stage,2023,2023-02-21,1373.87,USD,,Harvesting,Europe,Industrials,Citco,2025-10-18
VC009,Gamma Fund III,Tiger Global Management,Venture Capital,Late Stage,2017,2017-03-03,662.0,EUR,733.47,Fundraising,Middle East,Energy,,2025-08-27
VC010,Summit Fund II,Silver Lake Partners,Venture Capital,Growth,2017,2017-03-06,1679.56,EUR,1735.17,Liquidated,North America,Real Estate,Citco,2025-09-16
VC011,Delta Fund VI,Andreessen Horowitz,Venture Capital,Seed,2022,2022-04-18,554.42,JPY,654.66,Investing,Asia Pacific,Multi-Sector,Northern Trust,2025-09-24
VC012,Omega Fund IV,Benchmark Capital,Venture Capital,Growth,2017,2017-04-26,1248.86,GBP,,Liquidated,Asia Pacific,Healthcare,State Street,2025-10-27
VC013,Prime Fund IV,Warburg Pincus,Venture Capital,Seed,2016,2016-03-09,953.71,USD,971.2,Investing,Global,Energy,,2025-09-22
VC014,Peak Fund I,KKR & Co,Venture Capital,Seed,2018,2018-07-03,812.33,USD,948.67,Harvesting,Europe,Financial Services,SS&C Technologies,2025-09-12
VC015,Delta Fund II,Blackstone Group,Venture Capital,Late Stage,2022,2022-08-20,109.98,USD,,Investing,Latin America,Real Estate,SS&C Technologies,2025-10-04
VC016,Beta Fund III,Apollo Global Management,Venture Capital,Early Stage,2015,2015-04-14,1314.01,USD,,Liquidated,Latin America,Technology,State Street,2025-10-24
VC017,Alpha Fund V,Blackstone Group,Venture Capital,Seed,2021,2021-01-20,770.35,USD,,Fundraising,Latin America,Energy,SS&C Technologies,2025-09-08
VC018,Delta Fund V,Acme Capital Partners,Venture Capital,Early Stage,2021,2021-08-02,1307.77,CHF,,Fundraising,Asia Pacific,Healthcare,Citco,2025-08-23
VC019,Delta Fund I,Sequoia Capital,Venture Capital,Early Stage,2024,2024-12-25,731.79,USD,850.85,Investing,Middle East,Multi-Sector,,2025-10-19
VC020,Beta Fund VI,Benchmark Capital,Venture Capital,Late Stage,2016,2016-12-25,1892.85,USD,,Investing,North America,Energy,,2025-09-03
VC021,Alpha Fund II,Silver Lake Partners,Venture Capital,Growth,2019,2019-01-25,1329.11,USD,1341.82,Harvesting,Asia Pacific,Healthcare,BNY Mellon,2025-09-21
VC022,Beta Fund I,Acme Capital Partners,Venture Capital,Growth,2021,2021-06-06,1042.79,USD,1151.09,Fundraising,Middle East,Real Estate,SS&C Technologies,2025-10-19
VC023,Prime Fund I,Benchmark Capital,Venture Capital,Seed,2020,2020-02-03,723.05,USD,826.83,Investing,Middle East,Multi-Sector,Citco,2025-02-15
VC024,Delta Fund III,Carlyle Group,Venture Capital,Growth,2019,2019-11-26,1901.02,USD,2039.15,Investing,North America,Financial Services,BNY Mellon,2025-09-16
VC025,Peak Fund II,Acme Capital Partners,Venture Capital,Early Stage,2017,2017-02-08,1579.18,USD,1758.34,Investing,Middle East,Multi-Sector,,2025-11-02
